MINUTE;5;5;10;10;15;15;20;20;25;25;30;30;35;35;40;40;45;45;45.05;45.05;45.1;45.1;50;50;55;55;60;60;65;65;70;70;75;75;80;80;85;85;90;90;90.05;90.05;90.1;90.1;total;total;METRIC
FEATURE;Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Distance (m);Distance/Min (m);Match Totals (m);Avg. Distance/Min (m);
PLAYER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32302;297.35;120.96;272.84;76.46;256.38;72.02;263.42;74.52;133.3;68.13;302.74;72.48;186.07;68.66;173.51;82.43;163.3;74.85;7.66;65.66;0;0;258.9;79.01;204.36;77.17;212.03;80.31;108.49;54.75;255.78;97.32;235.71;68.06;107.57;93.27;151.46;76.82;191.21;72.7;154.48;69.95;0;0;3936.57;77.23;Net Distance (7.0 - 15.0 km/h)
32302;89.4;36.37;89.39;25.05;56.86;15.97;77.85;22.02;57.83;29.56;55.11;13.19;65.05;24.0;80.08;38.04;70.38;32.26;0.0;0.0;0;0;113.37;34.6;79.68;30.09;9.61;3.64;54.79;27.65;106.14;40.38;62.19;17.96;88.62;76.84;89.66;45.47;63.78;24.25;76.07;34.45;0;0;;74.66;Net Distance (7.0 - 15.0  km/h) - DEF
32302;126.69;51.53;79.4;22.25;75.34;21.16;85.84;24.28;69.49;35.51;71.52;17.12;67.25;24.82;78.81;37.44;72.58;33.27;0.0;0.0;0;0;65.6;20.02;81.96;30.95;89.25;33.81;72.76;36.72;106.19;40.4;72.85;21.03;93.19;80.8;36.77;18.65;60.23;22.9;47.01;21.29;0;0;;78.35;Net Distance (7.0 - 15.0  km/h) - ATT
32302;51.5;10.3;69.22;13.84;52.19;10.44;65.1;13.02;30.34;6.07;39.45;7.89;31.0;6.2;87.56;17.51;41.91;8.38;5.45;3.22;0;0;152.83;30.57;38.44;7.69;104.15;20.83;74.79;14.96;107.06;21.41;30.28;6.06;40.32;8.06;43.39;8.68;68.72;13.74;33.81;8.6;0;0;1167.5;12.21;Gross Distance (15.0 - 20.0 km/h)
32302;22.19;9.03;69.22;19.4;52.19;14.66;65.1;18.42;30.34;15.51;39.45;9.45;31.0;11.44;55.55;26.39;41.61;19.07;5.45;46.71;0;0;150.93;46.06;32.27;12.19;81.07;30.71;33.83;17.07;78.19;29.75;30.28;8.74;27.69;24.01;43.06;21.84;67.17;25.54;33.81;15.31;0;0;990.4;19.43;Net Distance (15.0 - 20.0 km/h)
32302;0.0;0.0;35.02;9.81;23.08;6.48;18.39;5.2;16.17;8.26;4.43;1.06;6.19;2.28;23.79;11.3;19.01;8.71;0.0;0.0;0;0;14.86;4.54;4.68;1.77;43.5;16.48;3.95;1.99;9.69;3.69;4.68;1.35;17.05;14.78;19.05;9.66;31.95;12.15;33.39;15.12;0;0;;15.34;Net Distance (15.0 - 20.0 km/h) - DEF
32302;7.56;3.08;14.6;4.09;0.0;0.0;7.3;2.07;0.0;0.0;4.64;1.11;7.61;2.81;30.3;14.39;16.93;7.76;0.0;0.0;0;0;45.85;13.99;6.08;2.3;11.62;4.4;10.75;5.42;20.78;7.91;6.83;1.97;14.96;12.97;8.98;4.55;7.39;2.81;0.0;0.0;0;0;;11.83;Net Distance (15.0 - 20.0 km/h) - ATT
32302;0.0;0.0;15.69;3.14;0.0;0.0;7.91;1.58;26.62;5.32;11.19;2.24;6.74;1.35;60.21;12.04;0.0;0.0;0.0;0.0;0;0;23.89;4.78;19.18;3.84;30.26;6.05;23.95;4.79;15.36;3.07;2.75;0.55;0.0;0.0;6.8;1.36;35.87;7.17;0.0;0.0;0;0;286.42;3.0;Gross Distance (20.0 - 25.0 km/h)
32302;0.0;0.0;15.69;4.4;0.0;0.0;7.91;2.24;26.62;13.6;11.19;2.68;6.74;2.49;22.31;10.6;0.0;0.0;0.0;0.0;0;0;23.89;7.29;19.18;7.24;30.26;11.46;8.11;4.09;15.36;5.84;2.75;0.79;0.0;0.0;6.8;3.45;35.87;13.64;0.0;0.0;0;0;232.68;4.57;Net Distance (20.0 - 25.0 km/h)
32302;0.0;0.0;0.15;0.04;7.31;2.05;18.29;5.17;36.02;18.41;1.33;0.32;3.59;1.32;9.12;4.33;9.12;4.18;0.0;0.0;0;0;5.02;1.53;5.26;1.99;77.49;29.35;6.09;3.07;13.63;5.19;0.71;0.21;0.0;0.0;2.82;1.43;13.65;5.19;13.09;5.93;0;0;;8.72;Net Distance (20.0 - 25.0 km/h) - DEF
32302;4.7;1.91;2.44;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.93;2.93;6.49;3.08;0.0;0.0;0.0;0.0;0;0;19.78;6.04;6.02;2.27;9.07;3.44;17.16;8.66;7.48;2.85;15.75;4.55;4.97;4.31;15.68;7.95;0.0;0.0;0.0;0.0;0;0;;5.34;Net Distance (20.0 - 25.0 km/h) - ATT
32302;0.0;0.0;9.31;1.86;0.0;0.0;0.0;0.0;0.0;0.0;3.47;0.69;0.0;0.0;42.97;8.59;0.0;0.0;0.0;0.0;0;0;9.98;2.0;1.3;0.26;13.38;2.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;80.42;0.84;Gross Distance (> 25.0 km/h)
